iter	Passed	Remaining
0	10	10436
1	18	9458
2	27	9115
3	36	8970
4	44	8806
5	64	10700
6	82	11646
7	95	11863
8	104	11507
9	114	11380
10	123	11121
11	133	10957
12	142	10801
13	151	10659
14	161	10591
15	175	10803
16	185	10744
17	197	10754
18	207	10700
19	216	10603
20	225	10494
21	233	10398
22	242	10311
23	251	10245
24	263	10274
25	272	10225
26	282	10184
27	291	10133
28	301	10096
29	312	10088
30	321	10052
31	331	10036
32	343	10059
33	354	10085
34	371	10256
35	383	10262
36	393	10252
37	405	10271
38	416	10269
39	426	10232
40	437	10226
41	448	10238
42	460	10252
43	470	10218
44	480	10203
45	489	10157
46	500	10154
47	511	10148
48	521	10112
49	532	10114
50	543	10115
51	554	10108
52	565	10098
53	583	10220
54	594	10221
55	605	10200
56	616	10199
57	627	10192
58	638	10180
59	649	10180
60	661	10187
61	671	10155
62	682	10154
63	693	10143
64	702	10111
65	716	10133
66	726	10110
67	735	10084
68	747	10080
69	758	10074
70	769	10067
71	780	10058
72	803	10198
73	812	10169
74	823	10157
75	834	10142
76	845	10129
77	855	10117
78	867	10117
79	878	10100
80	888	10079
81	899	10069
82	910	10061
83	920	10036
84	930	10016
85	941	10007
86	951	9987
87	965	10004
88	976	9991
89	1017	10284
90	1036	10351
91	1053	10392
92	1069	10430
93	1083	10442
94	1096	10449
95	1108	10442
96	1119	10421
97	1130	10406
98	1140	10380
99	1149	10349
100	1159	10316
101	1169	10295
102	1179	10274
103	1190	10257
104	1200	10236
105	1211	10221
106	1248	10416
107	1271	10503
108	1291	10557
109	1306	10574
110	1319	10570
111	1333	10570
112	1345	10564
113	1357	10552
114	1369	10539
115	1384	10547
116	1393	10515
117	1403	10489
118	1414	10470
119	1425	10451
120	1440	10465
121	1455	10473
122	1468	10473
123	1482	10470
124	1498	10489
125	1512	10490
126	1526	10493
127	1537	10476
128	1553	10490
129	1563	10464
130	1577	10462
131	1592	10469
132	1602	10448
133	1616	10444
134	1628	10431
135	1640	10419
136	1651	10401
137	1663	10391
138	1676	10382
139	1688	10369
140	1700	10358
141	1713	10354
142	1724	10334
143	1734	10307
144	1744	10286
145	1755	10271
146	1765	10246
147	1775	10222
148	1787	10209
149	1805	10228
150	1816	10212
151	1825	10184
152	1837	10174
153	1848	10154
154	1858	10130
155	1868	10109
156	1879	10092
157	1892	10086
158	1903	10066
159	1915	10057
160	1926	10037
161	1936	10019
162	1946	9996
163	1957	9977
164	1966	9952
165	1976	9928
166	1986	9908
167	1996	9887
168	2009	9881
169	2020	9862
170	2029	9840
171	2038	9814
172	2048	9792
173	2058	9770
174	2068	9751
175	2078	9729
176	2088	9709
177	2097	9687
178	2107	9667
179	2117	9644
180	2125	9618
181	2135	9595
182	2144	9573
183	2153	9551
184	2164	9534
185	2173	9510
186	2183	9493
187	2192	9471
188	2202	9452
189	2215	9445
190	2225	9427
191	2235	9408
192	2245	9388
193	2255	9369
194	2266	9355
195	2276	9336
196	2287	9325
197	2297	9307
198	2308	9290
199	2320	9280
200	2331	9269
201	2343	9259
202	2355	9247
203	2369	9246
204	2380	9231
205	2390	9213
206	2400	9196
207	2409	9176
208	2424	9177
209	2436	9165
210	2448	9157
211	2460	9146
212	2470	9129
213	2482	9116
214	2496	9113
215	2506	9096
216	2516	9081
217	2528	9070
218	2540	9060
219	2551	9044
220	2560	9024
221	2570	9008
222	2582	8998
223	2595	8992
224	2606	8977
225	2618	8968
226	2633	8967
227	2644	8953
228	2654	8937
229	2663	8917
230	2673	8901
231	2682	8881
232	2695	8873
233	2708	8864
234	2719	8851
235	2730	8838
236	2740	8823
237	2752	8811
238	2762	8794
239	2772	8779
240	2784	8769
241	2796	8758
242	2807	8746
243	2819	8736
244	2829	8718
245	2844	8718
246	2857	8710
247	2869	8702
248	2889	8715
249	2902	8707
250	2918	8708
251	2933	8708
252	2948	8706
253	2963	8705
254	2980	8706
255	2994	8701
256	3008	8698
257	3022	8692
258	3037	8690
259	3051	8684
260	3066	8682
261	3085	8690
262	3100	8687
263	3116	8689
264	3131	8686
265	3147	8684
266	3165	8690
267	3178	8682
268	3190	8670
269	3202	8657
270	3213	8644
271	3222	8625
272	3233	8610
273	3247	8604
274	3259	8593
275	3269	8575
276	3280	8561
277	3291	8547
278	3302	8533
279	3314	8522
280	3326	8510
281	3337	8498
282	3348	8482
283	3358	8466
284	3369	8454
285	3381	8440
286	3391	8424
287	3403	8413
288	3413	8397
289	3424	8385
290	3434	8367
291	3445	8353
292	3459	8347
293	3471	8335
294	3483	8323
295	3493	8309
296	3506	8299
